,lp1_le,lp12_ss,lp43_ss,lp12_ps,lp43_ps,lp4_te,t_le,t_te,ar_le,ar_te,mu_le,mu_te,ss2,ss3,ps2,ps3
-0.050,0.2000,0.3000,0.3000,0.3000,0.3000,0.3000,0.01820000,0.01820000,2.00000000,2.00000000,14.00000000,8.00000000,0.35000000,0.20000000,0.25000000,0.22000000
0.0500,0.2000,0.3000,0.3000,0.3000,0.3000,0.3000,0.01820000,0.01820000,2.00000000,2.00000000,14.00000000,8.00000000,0.35000000,0.20000000,0.25000000,0.22000000
0.1000,0.2000,0.3000,0.3000,0.3000,0.3000,0.3000,0.01820000,0.01820000,2.00000000,2.00000000,14.00000000,8.00000000,0.35000000,0.20000000,0.25000000,0.22000000
0.5000,0.2000,0.3000,0.2000,0.3000,0.2000,0.2000,0.01820000,0.01820000,2.00000000,2.00000000,22.00000000,11.0000000,0.35000000,0.20000000,0.25000000,0.22000000
0.9500,0.2000,0.3000,0.2000,0.3000,0.2000,0.2000,0.01419192,0.01287879,5.39393939,3.33333333,23.48484848,7.92929293,0.79797980,0.82828283,0.89898990,0.46464646
1.0000,0.2000,0.3000,0.2000,0.3000,0.2000,0.2000,0.01419192,0.01287879,5.39393939,3.33333333,23.48484848,7.92929293,0.79797980,0.82828283,0.89898990,0.46464646
1.1000,0.2000,0.3000,0.2000,0.3000,0.2000,0.2000,0.01419192,0.01287879,5.39393939,3.33333333,23.48484848,7.92929293,0.79797980,0.82828283,0.89898990,0.46464646
