,lp1_le,lp12_ss,lp43_ss,lp12_ps,lp43_ps,lp4_te,t_le,t_te,ar_le,ar_te,mu_le,mu_te,ss2,ss3,ps2,ps3
-0.050,0.25,0.3,0.3,0.3,0.3,0.25,0.01,0.01,4.0,5.0,13.67853939,16.62710782,0.2,0.2,0.2,0.2
0.0500,0.25,0.3,0.3,0.3,0.3,0.25,0.01,0.01,4.0,5.0,13.67853939,16.62710782,0.2,0.2,0.2,0.2
0.1000,0.25,0.3,0.3,0.3,0.3,0.25,0.01,0.01,4.0,5.0,13.67853939,16.62710782,0.2,0.2,0.2,0.2
0.5000,0.20,0.3,0.3,0.3,0.3,0.2,0.015,0.01,1.5,1.2,6.14,13.4,0.2,0.2,0.2,0.2
0.9500,0.2010101,0.3010101,0.2989899,0.2989899,0.2989899,0.1989899,0.01005051,0.01005051,2.26262626,1.2020202,5.43030303,8.12728111,0.0010101,0.0010101,0.2010101,0.1989899
1.0000,0.2010101,0.3010101,0.2989899,0.2989899,0.2989899,0.1989899,0.01005051,0.01005051,2.26262626,1.2020202,5.43030303,8.12728111,0.0010101,0.0010101,0.2010101,0.1989899
1.0500,0.2010101,0.3010101,0.2989899,0.2989899,0.2989899,0.1989899,0.01005051,0.01005051,2.26262626,1.2020202,5.43030303,8.12728111,0.0010101,0.0010101,0.2010101,0.198989
