,axial,rad
0,-0.0133,0.3254
1,-0.0066,0.3254
2,0.0,0.3254
3,0.0271,0.3254
4,0.0352,0.3254
5,0.069,0.3254
6,0.0792,0.3254
7,0.1108,0.3254
8,0.1174,0.3254
9,0.1241,0.3254
