,axial,rad,tang
-0.2,0.07919999999999999,0.28139259259259264,0.0
0.0,0.0792,0.2888,0.0
0.081,0.0792,0.2918,0.0
0.166,0.0792,0.2949,0.0
0.255,0.0792,0.2982,0.0
0.348,0.0792,0.3016,0.0
0.444,0.0792,0.3051,0.0
0.544,0.0792,0.3087,0.0
0.649,0.0792,0.3125,0.0
0.758,0.0792,0.3166,0.0
0.874,0.0792,0.3208,0.0
1.0,0.0792,0.3254,0.0
1.2,0.07920000000000002,0.3327015873015874,0.0
