,lp1_le,lp12_ss,lp43_ss,lp12_ps,lp43_ps,lp4_te,t_le,t_te,ar_le,ar_te,mu_le,mu_te,ss2,ss3,ps2,ps3
-0.05,0.25000000000000006,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.25,0.010000000000000004,0.01,4.0,5.0,13.67853939,16.62710782,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.2
0.0,0.24925871658507534,0.2999959533556092,0.30000404664439106,0.30000404664439106,0.30000404664439106,0.24926680987385713,0.010093552234568861,0.009999797647749548,3.960082941913471,4.943961912150646,13.570228796504933,16.60064844031372,0.2007971897462464,0.2007971897462464,0.1999959533556091,0.20000404832284302
0.05,0.25000000000000006,0.30000000000000004,0.3000000000000001,0.3000000000000001,0.3000000000000001,0.25000000000000006,0.010000000000000002,0.010000000000000002,4.000000000000001,5.000000000000001,13.678539390000003,16.627107820000003,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.2
0.1,0.24999999999999997,0.3,0.3,0.3,0.3,0.25,0.010000000000000002,0.010000000000000002,4.000000000000001,5.0,13.678539390000001,16.62710782,0.2,0.2,0.19999999999999998,0.19999999999999998
0.2,0.24268618990597543,0.29996433894630486,0.30003566105369467,0.30003566105369467,0.30003566105369467,0.24275751201336526,0.010902554067138082,0.009998216770792859,3.6091684256124514,4.446789350827568,12.606262606855937,16.343510976827115,0.20702523463879596,0.20702523463879596,0.19996433894630491,0.20003567584505388
0.3,0.22855368999404227,0.299917043789986,0.3000829562100134,0.3000829562100134,0.3000829562100134,0.22871960241406977,0.012542820808661634,0.009995851778865658,2.8692003092261307,3.3762191990882444,10.515854799601055,15.681302058931179,0.21634238979805026,0.21634238979805026,0.19991704378998612,0.20008299061828147
0.4,0.21264434508508806,0.2999112267386742,0.30008877326132555,0.30008877326132555,0.30008877326132555,0.2128218916077394,0.014161677145854376,0.009995560897505631,2.0696320382267452,2.1675394478048,8.122154440045646,14.685219066569656,0.21748835005827954,0.21748835005827954,0.19991122673867426,0.2000888100823684
0.5,0.19999999999999996,0.3,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.2,0.014999999999999998,0.010000000000000002,1.5,1.1999999999999995,6.14,13.4,0.2,0.2,0.2,0.2
0.6,0.1943710956178548,0.300214703426456,0.29978529657354414,0.29978529657354414,0.29978529657354414,0.19394168876494292,0.01453231399122592,0.010010736234105824,1.3699208580872086,0.756315213399221,5.108103868759821,11.90208972582794,0.15770338247685523,0.15770338247685523,0.20021470342645598,0.19978521211735736
0.7,0.194342457050487,0.3004995874499826,0.29950041255001747,0.29950041255001747,0.29950041255001747,0.19334328215052166,0.013167734535034423,0.01002498184545949,1.5693323806521113,0.7330572645382873,4.860674105562493,10.39476057605228,0.10158117343499724,0.10158117343499724,0.20049958744998272,0.1995002421146041
0.8,0.19720750546792046,0.3007771301473825,0.2992228698526175,0.2992228698526175,0.2992228698526175,0.19565324517315522,0.011549024745771488,0.010038860354167208,1.9082526120140564,0.9302627846556331,5.055792687130813,9.112991749020082,0.04690520709370491,0.04690520709370491,0.20077713014738263,0.1992226716553993
0.9,0.20025966204017895,0.30096980959545805,0.29903019040454193,0.29903019040454193,0.29903019040454193,0.1983200428492627,0.01031894773778311,0.010048495280335207,2.1966995964923903,1.1479684049896925,5.351541590187578,8.291762443078422,0.008947317672257338,0.008947317672257338,0.20096980959545813,0.1990300824034022
0.95,0.20101010000000005,0.30101009999999995,0.29898990000000003,0.29898990000000003,0.29898990000000003,0.1989899,0.010050509999999999,0.01005051,2.26262626,1.2020202000000002,5.430303030000001,8.12728111,0.0010100999999999995,0.0010100999999999995,0.2010101,0.1989899
1.0,0.20101009999999997,0.30101009999999995,0.2989899,0.2989899,0.2989899,0.19898989999999994,0.010050509999999999,0.010050509999999999,2.2626262599999993,1.2020202,5.430303029999998,8.12728111,0.0010100999999999995,0.0010100999999999995,0.20101009999999997,0.1989899
1.05,0.2010101,0.3010101,0.2989899,0.2989899,0.2989899,0.1989899,0.01005051,0.01005051,2.26262626,1.2020202,5.43030303,8.12728111,0.0010101,0.0010101,0.2010101,0.198989
