,axial,rad,tang
-0.2,0.0,0.25591121495327107,0.0
0.0,0.0,0.2675,0.0
0.107,0.0,0.2737,0.0
0.213,0.0,0.2798,0.0
0.316,0.0,0.2858,0.0
0.418,0.0,0.2917,0.0
0.519,0.0,0.2975,0.0
0.618,0.0,0.3032,0.0
0.715,0.0,0.3089,0.0
0.811,0.0,0.3145,0.0
0.906,0.0,0.32,0.0
1.0,0.0,0.3254,0.0
1.2,0.0,0.3368893617021278,0.0
